label,text,source
ham,Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,Youtube01-Psy.csv
spam,Check my channel please! And listen to the best music ever :P﻿,Youtube01-Psy.csv
spam,SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,Youtube01-Psy.csv
spam," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",Youtube01-Psy.csv
spam,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",Youtube01-Psy.csv
spam,YouTube/codytolleson for awesome videos I'll subscribe back ﻿,Youtube01-Psy.csv
spam,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,Youtube01-Psy.csv
spam,SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,Youtube01-Psy.csv
spam,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,Youtube01-Psy.csv
spam,"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",Youtube01-Psy.csv
spam,....subscribe......  ......to my........  .....channel.......﻿,Youtube01-Psy.csv
ham,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",Youtube01-Psy.csv
spam,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,Youtube01-Psy.csv
ham,go here to check the views :3﻿,Youtube01-Psy.csv
ham,thumbs up if u checked this video to see hw views it got﻿,Youtube01-Psy.csv
spam,Plz subscribe to my channel and I will subscribe back xx﻿,Youtube01-Psy.csv
ham,i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,Youtube01-Psy.csv
ham,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,Youtube01-Psy.csv
spam,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,Youtube01-Psy.csv
spam,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,Youtube01-Psy.csv
spam,Pls follow this channel!! http://www.twitch.tv/sevadus﻿,Youtube01-Psy.csv
spam,hi guys check my youtube channel﻿,Youtube01-Psy.csv
spam,Subscribe and like to me for more how to videos on minecraft!﻿,Youtube01-Psy.csv
spam,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,Youtube01-Psy.csv
spam,Subscribe ME!﻿,Youtube01-Psy.csv
ham,Im just to check how much views it has﻿,Youtube01-Psy.csv
ham,The first comment is chuck norrus ovbiously :D﻿,Youtube01-Psy.csv
ham,Behold the most viewed youtube video in the history of ever﻿,Youtube01-Psy.csv
ham,when is this gonna hit 2 billion?﻿,Youtube01-Psy.csv
ham,the most viewed youtube video of all time?﻿,Youtube01-Psy.csv
ham,"969,210 dislikes like dislike themselves﻿",Youtube01-Psy.csv
ham,psy=korean﻿,Youtube01-Psy.csv
ham,"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",Youtube01-Psy.csv
ham,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",Youtube01-Psy.csv
ham,It's been back for quite a while now.,Youtube01-Psy.csv
ham,2 Billions in 2014,Youtube01-Psy.csv
spam,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,Youtube01-Psy.csv
spam,Sub my channel!﻿,Youtube01-Psy.csv
spam,http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,Youtube01-Psy.csv
spam,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,Youtube01-Psy.csv
spam,"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",Youtube01-Psy.csv
spam,http://hackfbaccountlive.com/?ref=4604617﻿,Youtube01-Psy.csv
spam,"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",Youtube01-Psy.csv
spam,-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,Youtube01-Psy.csv
spam,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",Youtube01-Psy.csv
spam,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,Youtube01-Psy.csv
ham,Admit it you just came here to check the number of viewers ﻿,Youtube01-Psy.csv
ham,"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",Youtube01-Psy.csv
spam,Check my first video out﻿,Youtube01-Psy.csv
spam,Check my channel﻿,Youtube01-Psy.csv
ham,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,Youtube01-Psy.csv
spam,Suscribe My Channel Please XD lol﻿,Youtube01-Psy.csv
ham,Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,Youtube01-Psy.csv
spam,http://binbox.io/1FIRo#123﻿,Youtube01-Psy.csv
ham,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,Youtube01-Psy.csv
spam,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,Youtube01-Psy.csv
spam,There is one video on my channel about my brother...﻿,Youtube01-Psy.csv
spam,"Check my channel, please!﻿",Youtube01-Psy.csv
spam,"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",Youtube01-Psy.csv
ham,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,Youtube01-Psy.csv
spam,Plizz withing my channel ﻿,Youtube01-Psy.csv
spam,I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,Youtube01-Psy.csv
spam,Please help me go here http://www.gofundme.com/littlebrother﻿,Youtube01-Psy.csv
spam,Anybody who subscribes to me will get 10 subscribers﻿,Youtube01-Psy.csv
spam,http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,Youtube01-Psy.csv
spam,"My videos are half way decent, check them out if you want.﻿",Youtube01-Psy.csv
ham,"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",Youtube01-Psy.csv
spam,subscribe to itz recaps and above diddle﻿,Youtube01-Psy.csv
ham,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,Youtube01-Psy.csv
spam,need money?Enjoy https://www.tsu.co/emerson_zanol﻿,Youtube01-Psy.csv
spam,Sub to my channel visuelgamingzNL I sub back﻿,Youtube01-Psy.csv
spam,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,Youtube01-Psy.csv
spam,sub me if you dont like the song﻿,Youtube01-Psy.csv
ham,This is a weird video.﻿,Youtube01-Psy.csv
ham,8 million likes xD even the subscribers not 8 million xD﻿,Youtube01-Psy.csv
spam,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,Youtube01-Psy.csv
spam,Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,Youtube01-Psy.csv
ham,This song never gets old love it.﻿,Youtube01-Psy.csv
spam,gofundme.com/grwmps﻿,Youtube01-Psy.csv
spam,"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",Youtube01-Psy.csv
ham,#2012bitches﻿,Youtube01-Psy.csv
ham,Made in china....﻿,Youtube01-Psy.csv
ham,5 milions comentars and 2 bilion views﻿,Youtube01-Psy.csv
ham,It is 0 zero﻿,Youtube01-Psy.csv
ham,Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,Youtube01-Psy.csv
ham,This has had over 2 billion views.  Holy shit.﻿,Youtube01-Psy.csv
ham,"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",Youtube01-Psy.csv
spam,Suscribe my channel please﻿,Youtube01-Psy.csv
ham,"2,124923004 wiews... wow﻿",Youtube01-Psy.csv
spam,guys please subscribe me to help my channel grow please guys﻿,Youtube01-Psy.csv
ham,Great music anyway﻿,Youtube01-Psy.csv
ham,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,Youtube01-Psy.csv
ham,"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",Youtube01-Psy.csv
spam,Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,Youtube01-Psy.csv
spam,"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",Youtube01-Psy.csv
ham,Can somebody wake me up when we get to 3 billion views.﻿,Youtube01-Psy.csv
ham,PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,Youtube01-Psy.csv
ham,Justin bieber = gay ﻿,Youtube01-Psy.csv
ham,You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,Youtube01-Psy.csv
ham,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,Youtube01-Psy.csv
ham,"Ahhh, 2 years ago....﻿",Youtube01-Psy.csv
spam,"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",Youtube01-Psy.csv
spam,"check out ""starlitnightsky"" channel to see epic videos﻿",Youtube01-Psy.csv
spam,https://www.tsu.co/KodysMan plz ^^﻿,Youtube01-Psy.csv
ham,Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,Youtube01-Psy.csv
spam,http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿,Youtube01-Psy.csv
spam,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,Youtube01-Psy.csv
spam,pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,Youtube01-Psy.csv
spam,Add me here...https://www.facebook.com/TLouXmusic﻿,Youtube01-Psy.csv
spam,CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,Youtube01-Psy.csv
ham,I think this is now a place to promote channels in the comment section lol.﻿,Youtube01-Psy.csv
spam,Get free gift cards and pay pal money!﻿,Youtube01-Psy.csv
spam,Check out pivot animations in my channel﻿,Youtube01-Psy.csv
spam,Follow me on twitter &amp; IG : __killuminati94﻿,Youtube01-Psy.csv
spam,Check me out I'm all about gaming ﻿,Youtube01-Psy.csv
ham,Oppa! Yeah! Best Song!﻿,Youtube01-Psy.csv
spam,More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,Youtube01-Psy.csv
spam,https://www.facebook.com/teeLaLaLa﻿,Youtube01-Psy.csv
spam,http://www.twitch.tv/zxlightsoutxz﻿,Youtube01-Psy.csv
spam,reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,Youtube01-Psy.csv
spam,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,Youtube01-Psy.csv
spam,"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",Youtube01-Psy.csv
spam,Follow me on Twitter @mscalifornia95﻿,Youtube01-Psy.csv
ham,😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,Youtube01-Psy.csv
ham,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,Youtube01-Psy.csv
spam,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,Youtube01-Psy.csv
spam,Incmedia.org where the truth meets you.﻿,Youtube01-Psy.csv
spam,look at my channel i make minecraft pe lets play ﻿,Youtube01-Psy.csv
ham,I found out this song now﻿,Youtube01-Psy.csv
ham,2 BILLION!!!﻿,Youtube01-Psy.csv
ham,Song name??﻿,Youtube01-Psy.csv
spam,please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,Youtube01-Psy.csv
spam,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,Youtube01-Psy.csv
spam,http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,Youtube01-Psy.csv
ham,"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",Youtube01-Psy.csv
spam,Subscribe to me and I'll subscribe back!!!﻿,Youtube01-Psy.csv
spam,http://flipagram.com/f/LUkA1QMrhF﻿,Youtube01-Psy.csv
spam,For Christmas Song visit my channel! ;)﻿,Youtube01-Psy.csv
spam,http://www.gofundme.com/gvr7xg﻿,Youtube01-Psy.csv
spam,Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,Youtube01-Psy.csv
spam,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,Youtube01-Psy.csv
spam,https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,Youtube01-Psy.csv
spam,https://www.surveymonkey.com/s/CVHMKLT﻿,Youtube01-Psy.csv
spam,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,Youtube01-Psy.csv
spam,Please subscribe to me﻿,Youtube01-Psy.csv
ham,"This is the best, funny and viral video of history (youtube) THE TRUE﻿",Youtube01-Psy.csv
spam,Please check out my vidios﻿,Youtube01-Psy.csv
ham,OPPA GANGNAM STYLE!!!﻿,Youtube01-Psy.csv
ham,"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",Youtube01-Psy.csv
ham,OPPA &lt;3﻿,Youtube01-Psy.csv
ham,It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,Youtube01-Psy.csv
ham,most viewed video in the world﻿,Youtube01-Psy.csv
ham,I'm here to check the views.. holy shit﻿,Youtube01-Psy.csv
ham,"Dear person reading this, You are beautiful and loving Have a great day﻿",Youtube01-Psy.csv
spam,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,Youtube01-Psy.csv
spam,Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,Youtube01-Psy.csv
ham,The Guy in the yellow suit kinda looks like Jae-suk ﻿,Youtube01-Psy.csv
spam,"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",Youtube01-Psy.csv
ham,How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,Youtube01-Psy.csv
ham,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,Youtube01-Psy.csv
ham,OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,Youtube01-Psy.csv
ham,What is he saying?!?!?!?!?!?!?!?$? ﻿,Youtube01-Psy.csv
ham,this has so many views﻿,Youtube01-Psy.csv
ham,OMG over 2 billion views!﻿,Youtube01-Psy.csv
spam,Subscribe to me plz plz plz plz plz plZ ﻿,Youtube01-Psy.csv
spam,http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,Youtube01-Psy.csv
ham,"i am 2,126,492,636 viewer :D﻿",Youtube01-Psy.csv
spam,https://www.tsu.co/Aseris get money here !﻿,Youtube01-Psy.csv
ham,Fantastic!﻿,Youtube01-Psy.csv
ham,The population of world is more than 7 billion﻿,Youtube01-Psy.csv
ham,2.126.521.750  views!!!!!!!!!!!!!!!!!﻿,Youtube01-Psy.csv
ham,Wow 23 min ago﻿,Youtube01-Psy.csv
ham,SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,Youtube01-Psy.csv
ham,P E A C E  &amp;  L O V E  ! !﻿,Youtube01-Psy.csv
ham,How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,Youtube01-Psy.csv
spam,Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,Youtube01-Psy.csv
spam,subscribe to me :) ﻿,Youtube01-Psy.csv
ham,Still the best. :D﻿,Youtube01-Psy.csv
ham,The most liked video on YouTube...﻿,Youtube01-Psy.csv
ham,Still watching this 2 years later? ﻿,Youtube01-Psy.csv
spam,"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",Youtube01-Psy.csv
ham,"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",Youtube01-Psy.csv
ham,2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿,Youtube01-Psy.csv
ham,GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿,Youtube01-Psy.csv
ham,Will this song ever reach 7 Billion Views?﻿,Youtube01-Psy.csv
spam,"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",Youtube01-Psy.csv
ham,"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",Youtube01-Psy.csv
ham,"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ﻿",Youtube01-Psy.csv
spam,Can anyone sub to my channel? :D﻿,Youtube01-Psy.csv
ham,prehistoric song..has been﻿,Youtube01-Psy.csv
ham,You think you're smart?        Headbutt your face.﻿,Youtube01-Psy.csv
ham,DISLIKE.. Now one knows REAL music - ex. Enimen ﻿,Youtube01-Psy.csv
ham,Loool nice song funny how no one understands (me) and we love it﻿,Youtube01-Psy.csv
ham,Like if you came here too see how many views this song has.﻿,Youtube01-Psy.csv
ham,We pray for you Little Psy ♡﻿,Youtube01-Psy.csv
ham,"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U &lt;3﻿",Youtube01-Psy.csv
spam, Follow me on Instagram. _chris_cz  ﻿,Youtube01-Psy.csv
ham,how is this shit still relevant ﻿,Youtube01-Psy.csv
ham,LOL this shit never gets old﻿,Youtube01-Psy.csv
ham,What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )﻿,Youtube01-Psy.csv
ham,On 0:02 u can see the camera man on his glasses....﻿,Youtube01-Psy.csv
ham,this comment is wrong﻿,Youtube01-Psy.csv
ham,i hate this music. fucking singer and every koean chainise ana US sucks me dick.﻿,Youtube01-Psy.csv
ham,2:05. Hahahahah ﻿,Youtube01-Psy.csv
ham,Can we reach 3 billion views by December 2014? ﻿,Youtube01-Psy.csv
ham,"Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants﻿",Youtube01-Psy.csv
ham,"People Who Say That ""This Song Is Too Old Now, There's No Point Of  Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....﻿",Youtube01-Psy.csv
ham,The Funny Thing Is That this song was made in 2009 but it took 2 years to  get to america.﻿,Youtube01-Psy.csv
ham,why I dont see any comments but mine?:/﻿,Youtube01-Psy.csv
ham,this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.﻿,Youtube01-Psy.csv
ham,I remember when everyone was obsessed with Gangnam Style 😗﻿,Youtube01-Psy.csv
ham,Remove This video its wank﻿,Youtube01-Psy.csv
spam,"It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very  active child is suffering from brain tumor, only 6 month left for him .Hard  to believe .. Keep praying everyone for our future superstar.  #StrongLittlePsY #Fighting  SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ﻿",Youtube01-Psy.csv
ham,"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿",Youtube01-Psy.csv
ham,MANY MEMORIES...........﻿,Youtube01-Psy.csv
ham,why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿,Youtube01-Psy.csv
ham,"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",Youtube01-Psy.csv
ham,"This video is so cool, again and again!﻿",Youtube01-Psy.csv
ham,I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿,Youtube01-Psy.csv
ham,"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",Youtube01-Psy.csv
ham,With the korean girl more slut and bitch : Hyuna :'33﻿,Youtube01-Psy.csv
spam,Hey guys! Check this out: Kollektivet - Don't be slappin' my penis!  I  think that they deserve much more credit than they receive.﻿,Youtube01-Psy.csv
ham,Still a very fun music video to watch! ﻿,Youtube01-Psy.csv
ham,C'mon 3 billion views!!!!!!!!﻿,Youtube01-Psy.csv
spam,"Hey everyone, I am a new channel and will post videos of book reviews and  music on the flute. Please subscribe if you would enjoy that. Thanks!﻿",Youtube01-Psy.csv
